date,week,stationName,Address,City,State,Charger type,stationModel,date_became_unreachable,hours_unreachable,currently_unreachable
2026-08-17,2026-W34,NYC FLEET / DPRCUNINGHM-S2,Fresh Meadows Cunningham parking lot,Queens,New York,Level 2,CT4010-HD-GW,2026-08-10,152.6,True
2026-08-17,2026-W34,NYC FLEET / DOT_HARPER-S2,32-1 Harper St,Corona,New York,Level 2,CT4010-HD-GW,2026-06-23,1304.6,True
2026-08-17,2026-W34,NYC FLEET / DOCCWOD3,Hillside Ave,Bronx,New York,Level 2,CT4020-HD-GW,2026-08-16,1.9,True
2026-08-17,2026-W34,NYC FLEET / DOCCMUTRAILER01,50 Construction Way CMU,Flushing,New York,Level 2,CT4020-HD-GW,2026-08-16,12.1,True
2026-08-17,2026-W34,NYC FLEET / DOCTRANSARSEN02,Hillside Ave Transportation,Bronx,New York,Level 2,CT4020-HD-GW,2026-08-16,1.5,True
2026-08-17,2026-W34,NYC FLEET / DOC_QNSCOURT,125-01 82nd Ave,Kew Gardens,New York,Level 2,CT4020-HD-GW,2023-01-19,31330.9,True
2026-08-17,2026-W34,NYC FLEET / DPRBXPEPNORTH-1,Westchester Av/Burr Av,Pelham Bay,New York,Level 2,CT4020-HD-GW,2026-06-05,1740.7,True
2026-08-17,2026-W34,NYC FLEET / DOC_FFF-CPT,120 Construction Way,Rikers Island,New York,Level 2,CT4020-HD-GW,2026-08-15,30.1,True
2026-08-17,2026-W34,NYC FLEET / DOC_DIVISION-1,Hillside Ave,Bronx,New York,Level 2,CT4020-HD-GW,2026-08-16,24.5,True
2026-08-17,2026-W34,NYC FLEET / DPRRIVERSIDE-S2,NY-9A,New York,New York,Level 2,CT4010-HD-GW,2026-08-16,3.5,True
2026-08-17,2026-W34,NYC FLEET / DPRRIVERSIDE-S1,Hudson River Greenway,New York,New York,Level 2,CT4010-HD-GW,2026-06-20,1384.5,True
2026-08-17,2026-W34,NYC FLEET / OEMHQARC-S3,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT4010-HD-GW,2026-08-16,4.8,True
2026-08-17,2026-W34,NYC FLEET / DOE_ELECBUS,231 Malta St,East New York,New York,Level 2,CT4020-HD-GW,2022-04-08,38189.8,True
2026-08-17,2026-W34,NYC FLEET / DPRROCKAWY86-S1,8601 Shore Front Pkwy,Rockaway Beach,New York,Level 2,CT4010-HD2-GW-LTE,2026-08-16,2.0,True
2026-08-17,2026-W34,NYC FLEET / DOE1230ZEREGAAV,1230 Zerega Ave,Bronx,New York,Level 2,CT2000-HD-GPRS1-CCR,2022-01-01,40531.0,True
2026-08-17,2026-W34,NYC FLEET / DOC_VBAIN-S,1 Halleck Street,Bronx,New York,Level 2,CT4010-HD-GW,2025-10-01,7675.3,True
2026-08-17,2026-W34,NYC FLEET / DPRPEPBURR-S1,2029 Burr Ave,Bronx,New York,Level 2,CT4010-HD-GW,2026-03-10,3839.4,True
2026-08-17,2026-W34,NYC FLEET / NYPDACADEMY-S4,130-30 28th Ave,Flushing,New York,Level 2,CT4010-HD2-GW-LTE,2025-09-04,8307.5,True
2026-08-17,2026-W34,NYC FLEET / DPRPEPBURR-S3,2029 Burr Ave,Middletown - Pelham Bay,New York,Level 2,CT4010-HD2-GW-LTE,2026-07-22,611.2,True
2026-08-17,2026-W34,NYC FLEET / DPRPEPBURR-S2,2029 Burr Ave,Middletown - Pelham Bay,New York,Level 2,CT4010-HD-GW,2026-08-15,29.4,True
2026-08-17,2026-W34,NYC FLEET / DPR_VC-GAR-S2,5788 Broadway,North Riverdale,New York,Level 2,CT4010-HD-GW,2024-03-11,21321.9,True
2026-08-17,2026-W34,NYC FLEET / DPR_VCP-S1,189 Van Cortlandt Ave W Major Deegan Expy,The Bronx,New York,Level 2,CT4010-HD-GW,2026-08-15,26.7,True
2026-08-17,2026-W34,NYC FLEET / DOC_HAZENLOT-S2,Hazen St,Rikers Island,New York,Level 2,CT4010-HD-GW,2026-08-15,28.9,True
2026-08-17,2026-W34,NYC FLEET / NYCHA 23ASH1A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD-GW,2026-05-19,2139.5,True
2026-08-17,2026-W34,NYC FLEET / OEMHQCADMAN-6,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID-ZIG,2022-03-02,39091.4,True
