date,week,stationName,Address,City,State,Charger type,stationModel,date_became_unreachable,hours_unreachable,currently_unreachable
2026-08-17,2026-W34,NYC FLEET / DSNY_BK11-S1,1824 Shore Pkwy,Brooklyn,New York,Level 2,CT4010-HD-GW,2025-08-12,8858.5,True
2026-08-17,2026-W34,NYC FLEET / DSNY_SITS-S1,600 West Service Road,Travis - Chelsea,New York,Level 2,CT4010-HD2-GW-LTE,2025-07-25,9298.1,True
2026-08-17,2026-W34,NYC FLEET / DPRCUNINGHM-S3,Fresh Meadows Cunningham parking lot,Queens,New York,Level 2,CT4010-HD-GW,2026-01-27,4842.9,True
2026-08-17,2026-W34,NYC FLEET / DPRWFMARINA-S2,1 Marina Rd,Queens,New York,Level 2,CT4010-HD2-GW-LTE,2025-12-10,5982.2,True
2026-08-17,2026-W34,NYC FLEET / DEP_TALLMAN-1,182 Powells Cove Blvd,Queens,New York,Level 2,CT4025-HD-GW,2026-08-16,2.7,True
2026-08-17,2026-W34,NYC FLEET / DPR_SISHOPS3&4,25 Slosson Ave,Staten Island,New York,Level 2,CT4020-HD2-GW-LTE,2026-08-16,4.1,True
2026-08-17,2026-W34,NYC FLEET / NYPD_25PCT-2,120 E 119th St,New York,New York,Level 2,CPF50-L18,2025-12-16,5843.5,True
2026-08-17,2026-W34,NYC FLEET / NYPD_PSA4-5,126 Loisaida Ave,New York,New York,Level 2,CPF50,2026-08-08,213.2,True
2026-08-17,2026-W34,NYC FLEET / NYPD_BMS-3,59-06 Brooklyn Queens Expy,Queens,New York,Level 2,CPF50-L18,2026-07-02,1088.8,True
2026-08-17,2026-W34,NYC FLEET / DEP_ CONEY ISLA,2501 Knapp St,Brooklyn,New York,Level 2,CT4020-HD-GW,2026-08-13,83.0,True
2026-08-17,2026-W34,NYC FLEET / DEP_WDRC#1,3525 State Highway 10,Deposit,New York,Level 2,CT4020-HD2-GW-LTE,2026-07-09,923.3,True
2026-08-17,2026-W34,NYC FLEET / DPR_WPP-S1,161 Chester Ave,Staten Island,New York,Level 2,CT4010-HD-GW,2025-12-17,5830.6,True
2026-08-17,2026-W34,NYC FLEET / DOC_DCFLEET,15 Hazen St,Queens,New York,Level 2,CT4020-HD-GW,2026-08-15,33.1,True
2026-08-17,2026-W34,NYC FLEET / DEP_SIREPAIR-S2,182 Joline Ave,Staten Island,New York,Level 2,CT4010-HD-GW,2025-12-11,5955.2,True
