date,week,stationName,Address,City,State,Charger type,stationModel,faultReason,currently_faulted
2026-07-27,2026-W31,NYC FLEET / DPRMBLOT8_1_L3,920 Father Capodanno Blvd,Midland Beach,New York,Level 3,CPE250C-500-CCS1-CHD,Powered Off,False
2026-07-27,2026-W31,NYC FLEET / DPRMBLOT8_2_L3,920 Father Capodanno Blvd,Midland Beach,New York,Level 3,CPE250C-500-CCS1-CHD,Powered Off,False
